,US500,NAS100
1881-08-18,4.838709677419355,4.838709677419355
1881-08-19,4.838709677419355,4.838709677419355
1881-08-22,4.838709677419355,4.838709677419355
1881-08-23,4.838709677419355,4.838709677419355
1881-08-24,4.838709677419355,4.838709677419355
1881-08-25,4.838709677419355,4.838709677419355
1881-08-26,4.838709677419355,4.838709677419355
1881-08-29,4.838709677419355,4.838709677419355
1881-08-30,4.838709677419355,4.838709677419355
1881-08-31,4.838709677419355,4.838709677419355
1881-09-01,4.88,4.88
1881-09-02,4.88,4.88
1881-09-05,4.88,4.88
1881-09-06,4.88,4.88
1881-09-07,4.88,4.88
1881-09-08,4.88,4.88
1881-09-09,4.88,4.88
1881-09-12,4.88,4.88
1881-09-13,4.88,4.88
1881-09-14,4.88,4.88
1881-09-15,4.88,4.88
1881-09-16,4.88,4.88
1881-09-19,4.88,4.88
1881-09-20,4.88,4.88
1881-09-21,4.88,4.88
1881-09-22,4.88,4.88
1881-09-23,4.88,4.88
1881-09-26,4.88,4.88
1881-09-27,4.88,4.88
1881-09-28,4.88,4.88
1881-09-29,4.88,4.88
1881-09-30,4.88,4.88
1881-10-03,4.88,4.88
1881-10-04,4.88,4.88
1881-10-05,4.88,4.88
1881-10-06,4.88,4.88
1881-10-07,4.88,4.88
1881-10-10,4.88,4.88
1881-10-11,4.88,4.88
1881-10-12,4.88,4.88
1881-10-13,4.88,4.88
1881-10-14,4.88,4.88
1881-10-17,4.88,4.88
1881-10-18,4.88,4.88
1881-10-19,4.88,4.88
1881-10-20,4.88,4.88
1881-10-21,4.88,4.88
1881-10-24,4.88,4.88
1881-10-25,4.88,4.88
1881-10-26,4.88,4.88
1881-10-27,4.88,4.88
1881-10-28,4.88,4.88
1881-10-31,4.88,4.88
1881-11-01,5.088852988691437,5.088852988691437
1881-11-02,5.088852988691437,5.088852988691437
1881-11-03,5.088852988691437,5.088852988691437
1881-11-04,5.088852988691437,5.088852988691437
1881-11-07,5.088852988691437,5.088852988691437
1881-11-08,5.088852988691437,5.088852988691437
1881-11-09,5.088852988691437,5.088852988691437
1881-11-10,5.088852988691437,5.088852988691437
1881-11-11,5.088852988691437,5.088852988691437
1881-11-14,5.088852988691437,5.088852988691437
1881-11-15,5.088852988691437,5.088852988691437
1881-11-16,5.088852988691437,5.088852988691437
1881-11-17,5.088852988691437,5.088852988691437
1881-11-18,5.088852988691437,5.088852988691437
1881-11-21,5.088852988691437,5.088852988691437
1881-11-22,5.088852988691437,5.088852988691437
1881-11-23,5.088852988691437,5.088852988691437
1881-11-24,5.088852988691437,5.088852988691437
1881-11-25,5.088852988691437,5.088852988691437
1881-11-28,5.088852988691437,5.088852988691437
1881-11-29,5.088852988691437,5.088852988691437
1881-11-30,5.088852988691437,5.088852988691437
1881-12-01,5.324459234608985,5.324459234608985
1881-12-02,5.324459234608985,5.324459234608985
1881-12-05,5.324459234608985,5.324459234608985
1881-12-06,5.324459234608985,5.324459234608985
